CATEGORY,EMOTION,TIME2_6,TIME6_10,TIME10_14,TIME14_18,TIME18_22,TIME22_2,DATE_SUN,DATE_MON,DATE_TUE,DATE_WED,DATE_THU,DATE_FRI,DATE_SAT,PHOTO,VIDEO,ANIMATED_GIF,LOG10_USER_FAV,LOG10_USER_STATUS_COUNT,TOPIC,TEXT,SANITIZED_TEXT,SCORE
P,N,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0569048,4.264416,SNLFinale,"America, I hear you. \n\nTune in TONIGHT for our season finale of @nbcsnl for suprises and big laughs. \n#SNLFinale… https://t.co/VZl2P96eH7",America I hear you in TONIGHT for our season finale of nbcsnl for suprises and big laughs nSNLFinale ,0.1775814
P,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.7412305,4.1944313,SNLFinale,"Cartier presents the diamond encrusted Fidget Spinner. #SNLFinale https://t.co/2KXH0fM9tH",Cartier presents the diamond encrusted Fidget Spinner SNLFinale ,0.29413652
P,H,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3.7412305,4.1944313,SNLFinale,"\"I'm not giving up because I didn't do anything wrong.\" #SNLFinale https://t.co/Vlzel9V33y",not giving up because I didnt do anything SNLFinale ,0.3415588
P,H,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,3.7412305,4.1944313,SNLFinale,"One more day until @TheRock and @katyperry are in 8H! #SNLFinale https://t.co/Uukp222ges",One more day until TheRock and katyperry are in 8H SNLFinale ,0.50864494
P,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3.7412305,4.1944313,SNLFinale,"Johnson\nHanks\n2020\n#SNLFinale https://t.co/TNdoWLTNrt",Johnson Hanks 2020 SNLFinale,0.39843604
P,H,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.7412305,4.1944313,SNLFinale,"He’s baaaaaack. #DavidSPimpkins #SNLFinale @tomhanks https://t.co/14AB2gyjbe",Hes baaaaaack DavidSPimpkins SNLFinale tomhanks ,0.40833417
P,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.7412305,4.1944313,SNLFinale,"Swish Swish #SNLFinale @katyperry https://t.co/xMJpa1RtHS",Swish Swish SNLFinale katyperry ,0.7266989
P,H,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.7412305,4.1944313,SNLFinale,"*cheers* #DrunkUncle #SNLFinale @bibbymoynihan https://t.co/vYxcocOWlh",cheers DrunkUncle SNLFinale bibbymoynihan ,0.3239786
P,F,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0569048,4.264416,SNLFinale,"Bon' appetit baby. Tonight we get litty, as we say in the hood. @katyperry #SNLFinale #5xHost #MsEdible ? https://t.co/1mZghz0RuI",Bon appetit baby Tonight we get litty as we say in the hood katyperry SNLFinale 5xHost MsEdible  ,0.08270877
P,N,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.7412305,4.1944313,SNLFinale,"#SNLFinale day is finally here!\n\nWe're live tonight with @TheRock and @katyperry! ? https://t.co/5er5Ckl7px",SNLFinale day is finally live tonight with TheRock and katyperry  ,0.23903209
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.701827,4.846492,Lobos_BUAP,"Lobos BUAP wins promotion to the #ligamxeng !! \n\nIt'll be the 1st time the Puebla-based team plays in ??'s 1st divi… https://t.co/fyt2Q3T3yb",Lobos BUAP wins promotion to the ligamxeng  be the 1st time the Pueblabased team plays in s 1st divi ,0.06749045
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5453072,5.550924,Lobos_BUAP,"Goooool de @Dorados https://t.co/BZ4lt9xVXB",Goooool de Dorados ,0.006549266
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5453072,5.550924,Lobos_BUAP,"Gooooool de @LobosBuapMX https://t.co/BZ4lt9xVXB",Gooooool de LobosBuapMX ,0.007671998
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5453072,5.550924,Lobos_BUAP,"Goooool de @LobosBuapMX https://t.co/BZ4lt9xVXB",Goooool de LobosBuapMX ,0.008420485
C,H,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1.94939,3.5456781,NXTTakeOver,"\"Go and make a name for yourself kid...\"\n\nCongratulations, @PeteDunneYxB. \n#UKChampionship #NXTTakeOver https://t.co/7HSDUH6oTi",and make a name for yourself PeteDunneYxB nUKChampionship NXTTakeOver ,0.21019644
C,A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.9289076,5.2038674,NXTTakeOver,"WHAT is @ProjectCiampa doing to @JohnnyGargano?! It seems #AOP has fulfilled their prophecy to truly END #DIY...… https://t.co/tjbVF07TKJ",WHAT is ProjectCiampa doing to JohnnyGargano It seems AOP has fulfilled their prophecy to truly END ,0.022319991
C,N,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.9289076,5.2038674,NXTTakeOver,"The #Bruiserweight @PeteDunneYxB is your NEW @WWEUK Champion after beating @Tyler_Bate in an INCREDIBLE match!… https://t.co/XbWUzFJkxl",The Bruiserweight PeteDunneYxB is your NEW WWEUK Champion after beating TylerBate in an INCREDIBLE match ,0.02410636
C,H,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.94939,3.5456781,NXTTakeOver,".@JRsBBQ voiced some of @WWE's most historic moments, thrilled to have him join commentary for the #UKChampionship… https://t.co/2ixjV98zvv",JRsBBQ voiced some of WWEs most historic moments thrilled to have him join commentary for the UKChampionship ,0.08809619
C,N,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2.9289076,5.2038674,NXTTakeOver,"And now, please welcome to the announce table.... @WWE Hall Of Famer @JRsBBQ! #UKChampionship #NXTTakeOver https://t.co/qKgovvw2Po",And now please welcome to the announce WWE Hall Of Famer JRsBBQ UKChampionship NXTTakeOver ,0.017854072
C,S,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2.9289076,5.2038674,NXTTakeOver,"Desperate times call for desperate measures for #DIY @JohnnyGargano &amp; @ProjectCiampa! #NXTTakeOver #LadderMatch https://t.co/2mPApz4n4i",Desperate times call for desperate measures for DIY JohnnyGargano ProjectCiampa NXTTakeOver LadderMatch ,0.020975413
C,H,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1.0791812,4.6041613,NXTTakeOver,".@ProjectCiampa has taken the \"#DIY\" mindset to a WHOLE NEW LEVEL! @JohnnyGargano #NXTTakeOver #LadderMatch https://t.co/cE3Z3Vuc7q",ProjectCiampa has taken the mindset to a WHOLE NEW LEVEL JohnnyGargano NXTTakeOver LadderMatch ,0.21957047
C,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.94939,3.5456781,NXTTakeOver,"#NXTTakeOver was a night of incredible highs and devastating lows... and you were all there for every minute. \nThank you, Chicago. #WeAreNXT",NXTTakeOver was a night of incredible highs and devastating and you were all there for every minute you Chicago ,0.028527014
C,H,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2.9289076,5.2038674,NXTTakeOver,"HE'S DONE IT! The #Bruiserweight @PeteDunneYxB is your winner AND NEWWW #UKChampion! #UKChampionship #NXTTakeOver https://t.co/CcZZ8C6kLm",HES DONE IT The Bruiserweight PeteDunneYxB is your winner AND NEWWW UKChampion UKChampionship NXTTakeOver ,0.03865661
C,N,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1.94939,3.5456781,NXTTakeOver,"Get ready #NXTChicago ... it's time for #NXTTakeOver streaming LIVE only on @WWENetwork! https://t.co/AfyzPyKVZW",Get ready NXTChicago its time for NXTTakeOver streaming LIVE only on WWENetwork ,0.033143625
C,S,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2.860338,4.093597,Valera,"Visits to the graves of Eamon de Valera &amp; Michael Collins @glasnevinmuseum by @ClarenceHouse &amp; @HHumphreysFG. https://t.co/QLJp4SM5be",Visits to the graves of Eamon de Valera Michael Collins glasnevinmuseum by ClarenceHouse HHumphreysFG ,0.10653674
C,A,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.9698815,5.1470327,Valera,"We need to stop being polite when monsters die. CASE IN POINT: We Irish have to live with this embarrassment https://t.co/xC9f8svAGO",We need to stop being polite when monsters die CASE IN POINT We Irish have to live with this embarrassment ,0.033476315
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2.064458,4.3820353,Maicelo,"Watch:@Beltranboxing's Round 2 KO over Jonathan Maicelo. #CrawfordDiaz https://t.co/48toXruQrh",atchBeltranboxings Round 2 KO over Jonathan Maicelo CrawfordDiaz ,0.28748477
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.064458,4.3820353,Maicelo,"#CrawfordDiaz fight night on #HBO starts now with the co-feature bout between lightweight contenders @Beltranboxing… https://t.co/CRsUQjIy30",CrawfordDiaz fight night on HBO starts now with the cofeature bout between lightweight contenders Beltranboxing ,0.018385654
S,N,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2.064458,4.3820353,Maicelo,"Official #CrawfordDiaz co-feature weights:\n@Beltranboxing: 134.6 lbs.\nJohnathan Maicelo: 134.8 lbs. https://t.co/ybwSxn689r",Official CrawfordDiaz cofeature 1346 Maicelo 1348 lbs ,0.016953005
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.158423,4.462263,Maicelo,"Ray Beltran with the left hook from hell just now. May've taken Maicelo's soul.",Ray Beltran with the left hook from hell just now Mayve taken Maicelos ,0.41831765
S,S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4166405,4.641494,Maicelo,"@Beltranboxing The thump Maicelo's head made when he hit the canvas was sickening. Bringing the stretcher in. Praying he's OK.",Beltranboxing The thump Maicelos head made when he hit the canvas was sickening Bringing the stretcher in Praying hes ,0.13013892
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.064458,4.3820353,Maicelo,"After two rounds of @Beltranboxing vs. Jonathan Maicelo, Beltran wins by thrilling KO. #CrawfordDiaz https://t.co/gbNSKS8xAz",After two rounds of Beltranboxing vs Jonathan Maicelo Beltran wins by thrilling KO CrawfordDiaz ,0.015520357
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.065131,4.177392,Maicelo,"Out cold! What a way to win! Congrats @Beltranboxing! Maicelo's ok! Whew! @HBOboxing @boxnationtv @trboxing #BeltranMaicelo #boxing",Out cold What a way to win Congrats Beltranboxing Maicelos ok Whew HBOboxing boxnationtv trboxing BeltranMaicelo ,0.3510365
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0333834,4.687556,Maicelo,"Maicelo was transported to Bellevue Hospital",Maicelo was transported to Bellevue ,0.08701026
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.9637878,4.450603,Maicelo,"Beltran’s KO of Maicelo more than just highlight-reel material https://t.co/x312waT8vC #BeltranMaicelo @MikeCoppinger #boxing @HBOboxing",Beltrans KO of Maicelo more than just highlightreel material httpstcox312waT8vC BeltranMaicelo MikeCoppinger boxing ,0.13519408
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.7075702,5.24551,Cloud_Computing,"BREAKING: Cloud Computing has crossed the finish line first in the Preakness Stakes.",BREAKING Cloud Computing has crossed the finish line first in the Preakness ,0.03939134
S,H,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.071882,4.879652,Cloud_Computing,"What a race! \n\nCloud Computing wins the 142nd #Preakness Stakes!! https://t.co/vhqr4pKaVE",What a race Computing wins the 142nd Preakness Stakes ,0.14957047
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.3070679,4.9700956,Cloud_Computing,"BREAKING: CLOUD COMPUTING WINS THE PREAKNESS! https://t.co/liAkuIxDwX",BREAKING CLOUD COMPUTING WINS THE PREAKNESS ,0.6811306
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.8991747,4.3870516,Cloud_Computing,"The horse's name............is Cloud Computing https://t.co/7sUg6pngfH",The horses Cloud Computing ,6.4008512
S,H,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3.451172,4.5935297,Cloud_Computing,"WATCH FULL RACE: Cloud Computing wins the #Preakness2017 by a nose!! https://t.co/j3xIPe469s",WATCH FULL RACE Cloud Computing wins the Preakness2017 by a nose ,2.011833
S,H,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3.9082706,4.860943,Cloud_Computing,"Thriller! Cloud Computing runs down Classic Empire to win the #Preakness: https://t.co/XeHOl5NLuO",Thriller Cloud Computing runs down Classic Empire to win the Preakness ,1.0351094
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.975891,5.0863028,Cloud_Computing,"Cloud Computing wins the Preakness!\n\n1st horse to win the Preakness after not competing in the Kentucky Derby since 2009 (Rachel Alexandra).",Cloud Computing wins the horse to win the Preakness after not competing in the Kentucky Derby since 2009 Rachel ,0.14470327
S,S,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3.3070679,4.9700956,Cloud_Computing,"MAJOR UPSET: Cloud Computing wins @PreaknessStakes! https://t.co/dHcxkRIjTQ",MAJOR UPSET Cloud Computing wins PreaknessStakes ,0.75605494
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3.3070679,4.9700956,Cloud_Computing,"Cloud Computing comes from behind to win the #Preakness by a nose! https://t.co/0pvGB0yxHt",Cloud Computing comes from behind to win the Preakness by a nose ,0.23328722
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.2552725,4.7460656,Cloud_Computing,"Cloud Computing finishes first in the Preakness, beating Kentucky Derby winner Always Dreaming https://t.co/hAkixbeI7I",Cloud Computing finishes first in the Preakness beating Kentucky Derby winner Always Dreaming ,0.007159116
P,A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8260748,4.6627955,RememberingRajiv,"RT if you shed a tear for Rajiv Gandhi in 1991 but are a BJP supporter today. #RememberingRajiv",if you shed a tear for Rajiv Gandhi in 1991 but are a BJP supporter today ,5.5051723
P,S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7752461,4.2009873,RememberingRajiv,"Fulfilling your dream is our mission. Humble tribute to India's most charismatic PM. Forever in our heart&amp;mind.… https://t.co/UMOVUUBZ5O",Fulfilling your dream is our mission Humble tribute to Indias most charismatic PM Forever in our ,2.596504
P,S,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.3424227,3.396025,RememberingRajiv,"#RememberingRajiv \nA visionary, a pioneer, a humanist &amp; a true son of India, who lived and died for motherland. https://t.co/SKtUOuo38n",RememberingRajiv visionary a pioneer a humanist a true son of India who lived and died for motherland ,4.3913984
P,S,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.60206,3.391288,RememberingRajiv,"Heartfelt homage to former PM Rajiv Gandhi ji on his 26th death anniversary. Many memories \n#RememberingRajiv",Heartfelt homage to former PM Rajiv Gandhi ji on his 26th death anniversary Many memories ,1.3142089
P,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0860038,4.1766987,RememberingRajiv,"Inspiration of youth and architect of modern India #RememberingRajiv on his death anniversary with tearful eyes https://t.co/k9knwwxnjd",Inspiration of youth and architect of modern India RememberingRajiv on his death anniversary with tearful eyes ,1.7952298
P,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.852297,4.23975,RememberingRajiv,"It is only with self confidence that a younger generation will be able to present their idea - Rajiv Gandhi… https://t.co/tWOA0evc9u",It is only with self confidence that a younger generation will be able to present their idea  Rajiv Gandhi ,4.068426
P,N,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.3443923,4.2478013,RememberingRajiv,"Watch LIVE: Ceremony marking 26th Anniversary of Shri Rajiv Gandhi's Martyrdom, from Vir Bhumi. #RememberingRajiv https://t.co/HA3VDFgAZJ",Watch LIVE Ceremony marking 26th Anniversary of Shri Rajiv Gandhis Martyrdom from Vir Bhumi RememberingRajiv ,3.0615041
P,S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.30103,3.0038912,RememberingRajiv,"My homage to Sh. Rajiv Gandhiji - a great visionary, pioneer &amp; human being. His vision &amp; values continue to inspire us.\n#RememberingRajiv",My homage to Sh Rajiv Gandhiji  a great visionary pioneer human being His vision values continue to inspire ,3.5292337
P,S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0860038,4.1766987,RememberingRajiv,"You left us untimely but your dreams are with us forever. Your dreams of young and empowered India will always motivate us #RememberingRajiv",You left us untimely but your dreams are with us forever Your dreams of young and empowered India will always motivate us ,1.3173629
P,S,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.3653946,4.571988,RememberingRajiv,"My heartfelt tribute to Shri Rajiv Gandhi ji - a true visionary &amp; somebody who ushered India into the modern age.. #RememberingRajiv",My heartfelt tribute to Shri Rajiv Gandhi ji  a true visionary somebody who ushered India into the modern age ,2.134581
C,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.781949,4.215902,SamuraiJack,"Thank you for all the #Ashi love...&amp; for all the gorgeous art ...this one #Phantom1Link #samuraijack @phillamarr… https://t.co/wz0lBWBHih",Thank you for all the Ashi for all the gorgeous art one Phantom1Link samuraijack phillamarr ,0.7334706
C,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8836615,3.1604686,SamuraiJack,"That #SamuraiJack series finale was one of the most satisfying things I've ever seen.",That SamuraiJack series finale was one of the most satisfying things Ive ever ,1.2980046
C,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.450403,3.510813,SamuraiJack,"Without the restrictions of censors, we have seen the true awesomeness of Genndy Tartakovsky #Respect ??#SamuraiJack #Toonami @adultswim",Without the restrictions of censors we have seen the true awesomeness of Genndy Tartakovsky Respect SamuraiJack Toonami ,0.8497388
C,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.450403,3.510813,SamuraiJack,"#SamuraiJack with the throwback to the opening tho #Toonami https://t.co/zOYzvtBRiK",SamuraiJack with the throwback to the opening tho Toonami ,0.19075769
C,H,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.110926,4.2308574,SamuraiJack,"A fantastic #SamuraiJack piece for #FanArtFriday by @icecry! If you see other great SJ Fan art, send it my way. Onl… https://t.co/hA8dHeoDH7",A fantastic SamuraiJack piece for FanArtFriday by icecry If you see other great SJ Fan art send it my way Onl ,4.165293
C,N,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4.781949,4.215902,SamuraiJack,"Sometimes we get really cool pressies... #JackIsBack #samuraijack https://t.co/53m8zmuJIs",Sometimes we get really cool JackIsBack samuraijack ,1.3654138
C,H,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4.110926,4.2308574,SamuraiJack,"Happy Mother's Day? #MothersDay2017 #samuraijack https://t.co/F5sg2RsGyA",Happy Mothers Day MothersDay2017 samuraijack ,1.7652237
C,H,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.910971,3.477989,SamuraiJack,"Happy Dysfunctional Mother's Day! #samuraijack https://t.co/rRxgotdXRb",Happy Dysfunctional Mothers Day samuraijack ,0.31373054
C,H,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.781949,4.215902,SamuraiJack,"Gorgeous #Ashi #SamuraiJack https://t.co/jL9EIk5Upr",Gorgeous Ashi SamuraiJack ,0.35599682
C,A,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.8129134,4.7426624,SamuraiJack,"\"Social-justice warriors have a new target: #SamuraiJack. But he’s a warrior too — and he fights back.\" https://t.co/GRTsYdgelN",warriors have a new target SamuraiJack But hes a warrior too  and he fights ,0.05360286
C,N,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4.099439,3.556182,EdSheeranARG,"thinking out loud ??? #EdSheeranARG https://t.co/AdeO9sw5TT",thinking out loud  EdSheeranARG ,11.801022
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.4022615,4.532321,NSHvsANA,"Game 5 = OURS! Preds with a 3-2 series lead. One away #Smashville...See ya Monday! #NSHvsANA https://t.co/XM6f9lByP4",Game 5  OURS Preds with a 32 series lead One away ya Monday NSHvsANA ,16.755087
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.064458,3.5902843,NSHvsANA,"Another exciting game! Way to go @PredsNHL !!! You played hard and with tons of ?? and it showed! Let's bring it on home, boys! #NSHvsANA",Another exciting game Way to go PredsNHL  You played hard and with tons of  and it showed Lets bring it on home boys ,0.8944871
S,H,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3.4022615,4.532321,NSHvsANA,"GOAL!!! #playoffColinWilson #NSHvsANA https://t.co/6HBfGfD5cN",GOAL playoffColinWilson NSHvsANA ,3.9871569
S,S,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.4022615,4.532321,NSHvsANA,"We can’t actually handle this. #NSHvsANA https://t.co/mxaVfY5TcG",We cant actually handle this NSHvsANA ,4.5257993
S,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4022615,4.532321,NSHvsANA,"There is some anger on the ice right now. #NSHvsANA",There is some anger on the ice right now ,2.702239
S,H,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3.4022615,4.532321,NSHvsANA,"WATTY! 3-1, #Preds. #NSHvsANA https://t.co/ShicxbfC4g",WATTY 31 Preds NSHvsANA ,6.5991206
S,N,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.4022615,4.532321,NSHvsANA,"Goal officially Aberg from Forsberg and Ekholm at 11:01 of the 3rd. First career Stanley Cup Playoff goal for Pontus! #NSHvsANA",Goal officially Aberg from Forsberg and Ekholm at 1101 of the 3rd First career Stanley Cup Playoff goal for Pontus ,2.0266793
S,N,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3.4022615,4.532321,NSHvsANA,"We are tied 1-1 at the end of the 2nd period. #NSHvsANA https://t.co/bXxDdFJc1l",We are tied 11 at the end of the 2nd period NSHvsANA ,1.5316701
S,N,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3.4022615,4.532321,NSHvsANA,"No-look backhand goal: ? #Preds #NSHvsANA https://t.co/MO2ujPNvD9",Nolook backhand goal  Preds NSHvsANA ,1.8446243
S,H,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.4022615,4.532321,NSHvsANA,"A pivotal Game 5. Tonight. \n\nHere we go, #Smashville! #NSHvsANA #Preds \n\nhttps://t.co/b6ggYixRWz",A pivotal Game 5 Tonight we go Smashville NSHvsANA Preds ,1.4248444
S,N,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4.588966,4.494419,AllStarRace,"Headed to the @NASCAR #AllStarRace ?",Headed to the NASCAR AllStarRace ,0.18611367
S,H,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3.1815577,4.14501,AllStarRace,"Retweet to wish @DaleJr good luck in tonight's #AllStarRace! #NW88JR https://t.co/v8DJTEE5eV",Retweet to wish DaleJr good luck in tonights AllStarRace NW88JR ,9.460592
S,H,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2.690196,5.031473,AllStarRace,"The year: 2000.\nThe winner: A rookie, @DaleJr. \n\nDon't miss his final #AllStarRace tonight on @FS1. https://t.co/9xHJR6bAt9",The year winner A rookie DaleJr miss his final AllStarRace tonight on FS1 ,0.16558488
S,N,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.690196,5.031473,AllStarRace,".@chaseelliott is your #AllStarRace Fan Vote winner!\n\n\"I appreciate everyone's vote, it means a lot to me.\" https://t.co/4fi6h3oxVK",chaseelliott is your AllStarRace Fan Vote appreciate everyones vote it means a lot to ,0.21605024
S,H,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.2375438,4.877072,AllStarRace,"Pretty impressive. Watch as @RyanJNewman holds on to a sideways No. 31 in #AllStarRace qualifying.\n\n#NASCARonFS1 https://t.co/rV6UbPn6zI",Pretty impressive Watch as RyanJNewman holds on to a sideways No 31 in AllStarRace ,0.47341147
S,N,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2.690196,5.031473,AllStarRace,"Welcome to Paradise City, where someone will leave with $1 million! #AllStarRace\n\n? @gunsnroses https://t.co/TMWj52c4gy",Welcome to Paradise City where someone will leave with 1 million gunsnroses ,0.15300511
S,H,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3.466571,4.903193,AllStarRace,"RETWEET to congratulate @KyleBusch on winning the 2017 #NASCAR #AllStarRace \n\n@mmschocolate https://t.co/gJVd9E7DWF",RETWEET to congratulate KyleBusch on winning the 2017 NASCAR AllStarRace ,1.278183
S,H,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2.690196,5.031473,AllStarRace,"FINAL STAGE: @KyleBusch gets the prize! #AllStarRace https://t.co/mPQScHQDk8",FINAL STAGE KyleBusch gets the prize AllStarRace ,0.12682164
S,N,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3.8927066,4.556604,AllStarRace,"Retweet to wish @keselowski &amp; @Joeylogano luck in the #NASCAR #AllStarRace! https://t.co/QkGEXY8zaG",Retweet to wish keselowski Joeylogano luck in the NASCAR AllStarRace ,1.6607553
S,H,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4.0101304,4.1379237,AllStarRace,"Next time you wanna mess with the #MonsterEnergyGirls... just remember this! #NASCAR #AllStarRace https://t.co/ClzZbngmfN",Next time you wanna mess with the just remember this NASCAR AllStarRace ,0.24764732